date,ticker,entry,exit,overnight_ret,intraday_ret,stop_level,gapped_through_stop,avg_vol,year
2021-09-30,INTC,49.07413864135742,49.414934468328,0.006944509601302995,0.0039142419105311355,48.09265586853027,False,19736585.0,2021
2021-09-30,GM,50.626426696777344,50.933777816071526,0.006070962130806379,0.001885768265516008,49.6138981628418,False,16082775.0,2021
2021-09-30,KSS,34.6779899597168,34.75162821472967,0.002123486831226762,0.029031633533606938,33.98443016052246,False,3407210.0,2021
2021-09-30,HPQ,22.879676818847656,23.021836066028293,0.006213341574105247,0.019614928976033674,22.4220832824707,False,8607940.0,2021
2021-09-30,M,18.778934478759766,18.820473504603708,0.002212001212897663,0.010596016563365396,18.40335578918457,False,15869820.0,2021
2021-09-30,GAP,18.63343048095703,18.633432280709158,9.658726707328924e-08,0.03832594284777069,18.26076187133789,False,7877850.0,2021
2021-09-30,BBWI,55.5236930847168,55.76155197169555,0.004283916896807183,0.01105846400278665,54.41321922302246,False,2572440.0,2021
2021-09-30,CPB,34.3245964050293,34.365650766903606,0.001196062479216664,-0.007883464554300113,33.63810447692871,False,3042250.0,2021
2021-09-30,KHC,29.06320571899414,29.221074602116488,0.005431915689162015,-0.009184228751585088,28.481941604614256,False,5859320.0,2021
2021-09-30,MU,69.3119888305664,69.66352807175112,0.005071838899963543,-0.004906062406611067,67.92574905395507,False,17691275.0,2021
2021-09-30,CLF,19.809999465942383,19.899999618530273,0.004543167845239893,-0.012060290237125626,19.413799476623534,False,21921430.0,2021
2021-09-30,CCL,24.61445426940918,25.657689745484117,0.042383043095595596,0.0007671828921287371,24.122165184020997,False,33167455.0,2021
2021-09-30,AA,46.50514221191406,46.99927551023971,0.01062534753842903,0.006267718945193845,45.57503936767578,False,7934055.0,2021
2021-09-30,FCX,30.36075782775879,30.706085668764885,0.011374150901146685,-0.0018237498634708915,29.75354267120361,False,21238690.0,2021
2021-09-30,NEM,47.417388916015625,47.72302774483342,0.006445711917185903,-0.01994510745021183,46.469041137695314,False,6109165.0,2021
2021-09-30,DAL,41.129417419433594,42.42285757306359,0.031448054331517206,0.03253698021278795,40.30682907104492,False,10874485.0,2021
2021-09-30,AAL,20.520000457763672,21.0,0.02339179003549785,0.030952362787155963,20.109600448608397,False,33202135.0,2021
2021-09-30,UAL,47.56999969482422,48.900001525878906,0.02795883623264772,0.04989772087057465,46.61859970092773,False,11814115.0,2021
